HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"0302.81.00.91","3","Other","[""kg""]","","","","",""
"0302.82.00.00","2","Rays and skates (Rajidae)","[""kg""]","Free","","2.2¢/kg","",""
"0302.83.00.00","2","Toothfish (Dissostichus spp.)","[""kg""]","Free","","2.2¢/kg","",""
"0302.84","2","Seabass (Dicentrarchus spp.):","","","","","",""
"0302.84.11.00","3","Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0302.84.50.00","3","Other","[""kg""]","Free","","2.2¢/kg","",""
"0302.85","2","Seabream (Sparidae):","","","","","",""
"0302.85.11.00","3","Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0302.85.50.00","3","Other","[""kg""]","Free","","2.2¢/kg","",""
"0302.89","2","Other :","","","","","",""
"0302.89.11","3","Scaled (whether or not heads, viscera and/or fins have been processed), in immediate containers weighing with their contents 6.8 kg or less","","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0302.89.11.20","4","Sable fish (Anoplopoma fimbria)","[""kg""]","","","","",""
"0302.89.11.40","4","Other","[""kg""]","","","","",""
"0302.89.50","3","Other","","Free","","2.2¢/kg","",""
"","4","Fresh-water fish:","","","","","",""
"0302.89.50.07","5","Pike","[""kg""]","","","","",""
"0302.89.50.10","5","Pickerel","[""kg""]","","","","",""
"","5","Perch:","","","","","",""
"0302.89.50.13","6","Pike perch (including yellow pike)","[""kg""]","","","","",""
"0302.89.50.25","6","Other","[""kg""]","","","","",""
"0302.89.50.28","5","Bass","[""kg""]","","","","",""
"0302.89.50.31","5","Whitefish","[""kg""]","","","","",""
"0302.89.50.34","5","Other","[""kg""]","","","","",""
"0302.89.50.37","4","Smelts","[""kg""]","","","","",""
"0302.89.50.40","4","Cusk","[""kg""]","","","","",""
"0302.89.50.49","4","Shad and sturgeon","[""kg""]","","","","",""
"0302.89.50.52","4","Sable fish (Anoplopoma fimbria)","[""kg""]","","","","",""
"0302.89.50.55","4","Ocean perch","[""kg""]","","","","",""
"0302.89.50.58","4","Snapper (Lutjanidae)","[""kg""]","","","","",""
"0302.89.50.61","4","Grouper","[""kg""]","","","","",""
"0302.89.50.64","4","Lingcod (Ophiodon elongatus)","[""kg""]","","","","",""
"0302.89.50.67","4","Monkfish (Lophius spp.)","[""kg""]","","","","",""
"0302.89.50.70","4","Atka mackerel (Atkafish) (Pleurogrammus monopterygius)","[""kg""]","","","","",""
"0302.89.50.72","4","Dolphin fish (mahi mahi) (Coryphaena spp.)","[""kg""]","","","","",""
"0302.89.50.77","4","Other","[""kg""]","","","","",""
